Name,Zhihu Link
Princeton University,https://www.zhihu.com/topic/20005428
Harvard University,https://www.zhihu.com/topic/20005428
Columbia University,https://www.zhihu.com/topic/19573406
Massachusetts Institute of Technology,https://www.zhihu.com/topic/19573406
University of Chicago,https://www.zhihu.com/topic/19620845
Yale University,https://www.zhihu.com/topic/19620845
Stanford University,https://www.zhihu.com/topic/19622396
Duke University,https://www.zhihu.com/topic/19622396
University of Pennsylvania,https://www.zhihu.com/topic/19787794
Johns Hopkins University,https://www.zhihu.com/topic/19787794
Northwestern University,https://www.zhihu.com/topic/19634767
California Institute of Technology,https://www.zhihu.com/topic/19634767
Dartmouth College,https://www.zhihu.com/topic/19554375
Brown University,https://www.zhihu.com/topic/19554375
Vanderbilt University,https://www.zhihu.com/topic/19771862
Cornell University,https://www.zhihu.com/topic/19771862
Rice University,https://www.zhihu.com/topic/19740291
University of Notre Dame,https://www.zhihu.com/topic/19740291
University of California--Los Angeles,https://www.zhihu.com/topic/19762276
Washington University in St. Louis,https://www.zhihu.com/topic/19762276
Emory University,https://www.zhihu.com/topic/19740581
Georgetown University,https://www.zhihu.com/topic/19740581
University of California--Berkeley,https://www.zhihu.com/topic/19678545
University of Southern California,https://www.zhihu.com/topic/19678545
Carnegie Mellon University,https://www.zhihu.com/topic/20067496
University of Virginia,https://www.zhihu.com/topic/20067496
Tufts University,https://www.zhihu.com/topic/19796110
University of Michigan--Ann Arbor,https://www.zhihu.com/topic/19796110
Wake Forest University,https://www.zhihu.com/topic/20067505
New York University,https://www.zhihu.com/topic/20067505
University of California--Santa Barbara,https://www.zhihu.com/topic/19758197
University of North Carolina--Chapel Hill,https://www.zhihu.com/topic/19758197
University of California--Irvine,https://www.zhihu.com/topic/20014384
University of Rochester,https://www.zhihu.com/topic/20014384
Brandeis University,https://www.zhihu.com/topic/19851053
Georgia Institute of Technology,https://www.zhihu.com/topic/19851053
University of Florida,https://www.zhihu.com/topic/19695712
Boston College,https://www.zhihu.com/topic/19695712
College of William and Mary,https://www.zhihu.com/topic/20005889
University of California--Davis,https://www.zhihu.com/topic/20005889
University of California--San Diego,https://www.zhihu.com/topic/19728922
Boston University,https://www.zhihu.com/topic/19728922
Case Western Reserve University,https://www.zhihu.com/topic/19709248
Northeastern University,https://www.zhihu.com/topic/19709248
Tulane University,https://www.zhihu.com/topic/19563305
Pepperdine University,https://www.zhihu.com/topic/19563305
University of Georgia,https://www.zhihu.com/topic/19755275
University of Illinois--Urbana-Champaign,https://www.zhihu.com/topic/19755275
Rensselaer Polytechnic Institute,https://www.zhihu.com/topic/19589342
University of Texas--Austin,https://www.zhihu.com/topic/19589342
University of Wisconsin--Madison,https://www.zhihu.com/topic/20037703
Villanova University,https://www.zhihu.com/topic/20037703
Lehigh University,https://www.zhihu.com/topic/20025850
Syracuse University,https://www.zhihu.com/topic/20025850
University of Miami,https://www.zhihu.com/topic/19699485
Ohio State University--Columbus,https://www.zhihu.com/topic/19699485
Purdue University--West Lafayette,https://www.zhihu.com/topic/20067464
Rutgers University--New Brunswick,https://www.zhihu.com/topic/20067464
Pennsylvania State University--University Park,https://www.zhihu.com/topic/19692536
Southern Methodist University,https://www.zhihu.com/topic/19692536
University of Washington,https://www.zhihu.com/topic/20001686
Worcester Polytechnic Institute,https://www.zhihu.com/topic/20001686
George Washington University,https://www.zhihu.com/topic/20036722
University of Connecticut,https://www.zhihu.com/topic/20036722
University of Maryland--College Park,https://www.zhihu.com/topic/20019685
Brigham Young University--Provo,https://www.zhihu.com/topic/20019685
Clark University,https://www.zhihu.com/topic/20013050
Clemson University,https://www.zhihu.com/topic/20013050
Texas A&M University--College Station,https://www.zhihu.com/topic/20025385
Florida State University,https://www.zhihu.com/topic/20025385
Fordham University,https://www.zhihu.com/topic/19730712
Stevens Institute of Technology,https://www.zhihu.com/topic/19730712
University of California--Santa Cruz,https://www.zhihu.com/topic/20005770
University of Massachusetts--Amherst,https://www.zhihu.com/topic/20005770
University of Pittsburgh,https://www.zhihu.com/topic/19800512
University of Minnesota--Twin Cities,https://www.zhihu.com/topic/19800512
Virginia Tech,https://www.zhihu.com/topic/20003664
American University,https://www.zhihu.com/topic/20003664
Baylor University,https://www.zhihu.com/topic/19892781
Binghamton University--SUNY,https://www.zhihu.com/topic/19892781
Colorado School of Mines,https://www.zhihu.com/topic/19755694
North Carolina State University--Raleigh,https://www.zhihu.com/topic/19755694
Stony Brook University--SUNY,https://www.zhihu.com/topic/20005419
Texas Christian University,https://www.zhihu.com/topic/20005419
Yeshiva University,https://www.zhihu.com/topic/19966755
Michigan State University,https://www.zhihu.com/topic/19966755
University of California--Riverside,https://www.zhihu.com/topic/19743986
University of San Diego,https://www.zhihu.com/topic/19743986
Howard University,https://www.zhihu.com/topic/20067649
Indiana University--Bloomington,https://www.zhihu.com/topic/20067649
Loyola University Chicago,https://www.zhihu.com/topic/20067660
Marquette University,https://www.zhihu.com/topic/20067660
University at Buffalo--SUNY,https://www.zhihu.com/topic/20067675
University of Delaware,https://www.zhihu.com/topic/20067675
University of Iowa,https://www.zhihu.com/topic/19772422
Illinois Institute of Technology,https://www.zhihu.com/topic/19772422
Miami University--Oxford,https://www.zhihu.com/topic/20067647
University of Colorado--Boulder,https://www.zhihu.com/topic/20067647
University of Denver,https://www.zhihu.com/topic/20006891
University of San Francisco,https://www.zhihu.com/topic/20006891
University of Vermont,https://www.zhihu.com/topic/20005380
Clarkson University,https://www.zhihu.com/topic/20005380
Drexel University,https://www.zhihu.com/topic/20045453
Rochester Institute of Technology,https://www.zhihu.com/topic/20045453
University of Oregon,https://www.zhihu.com/topic/20067642
New Jersey Institute of Technology,https://www.zhihu.com/topic/20067642
Saint Louis University,https://www.zhihu.com/topic/20005410
SUNY College of Environmental Science and Forestry,https://www.zhihu.com/topic/20005410
Temple University,https://www.zhihu.com/topic/20025815/top-answers
University of Arizona,https://www.zhihu.com/topic/20025815/top-answers
University of New Hampshire,https://www.zhihu.com/topic/20005455
University of South Carolina,https://www.zhihu.com/topic/20005455
University of the Pacific,https://www.zhihu.com/topic/20005377
University of Tulsa,https://www.zhihu.com/topic/20005377
Arizona State University--Tempe,https://www.zhihu.com/topic/20171902
Auburn University,https://www.zhihu.com/topic/20171902
Rutgers University--Newark,https://www.zhihu.com/topic/19736291
University of Tennessee,https://www.zhihu.com/topic/19736291
DePaul University,https://www.zhihu.com/topic/20067670
Duquesne University,https://www.zhihu.com/topic/20067670
Iowa State University,https://www.zhihu.com/topic/19694930
Seton Hall University,https://www.zhihu.com/topic/19694930
University of Utah,https://www.zhihu.com/topic/20067680
University of Oklahoma,https://www.zhihu.com/topic/20067680
University of South Florida,https://www.zhihu.com/topic/20037634
University of St. Thomas,https://www.zhihu.com/topic/20037634
San Diego State University,https://www.zhihu.com/topic/20067663
University of Dayton,https://www.zhihu.com/topic/20067663
The Catholic University of America,https://www.zhihu.com/topic/20005887
University of Alabama,https://www.zhihu.com/topic/20005887
University of Illinois--Chicago,https://www.zhihu.com/topic/20067683
University of Kansas,https://www.zhihu.com/topic/20067683
University of Missouri,https://www.zhihu.com/topic/20067729/top-answers
University of Nebraska--Lincoln,https://www.zhihu.com/topic/20067729/top-answers
University of Texas--Dallas,https://www.zhihu.com/topic/20067681
George Mason University,https://www.zhihu.com/topic/20067681
Michigan Technological University,https://www.zhihu.com/topic/20014341
University of California--Merced,https://www.zhihu.com/topic/20014341
University of La Verne,DNE
Colorado State University,https://www.zhihu.com/topic/20067652
Hofstra University,https://www.zhihu.com/topic/20067652
Louisiana State University--Baton Rouge,https://www.zhihu.com/topic/20067718
Mercer University,https://www.zhihu.com/topic/20067718
Oregon State University,https://www.zhihu.com/topic/20067699
University at Albany--SUNY,https://www.zhihu.com/topic/20067699
Washington State University,https://www.zhihu.com/topic/20067734
Adelphi University,https://www.zhihu.com/topic/20067734
Kansas State University,https://www.zhihu.com/topic/20015737
The New School,https://www.zhihu.com/topic/20015737
University of Cincinnati,https://www.zhihu.com/topic/19816032
University of Kentucky,https://www.zhihu.com/topic/19816032
St. John Fisher College,https://www.zhihu.com/topic/20018030
St. John's University,https://www.zhihu.com/topic/20018030
Union University,https://www.zhihu.com/topic/20067701
University of Arkansas,https://www.zhihu.com/topic/20067701
University of Mississippi,https://www.zhihu.com/topic/20067687
Biola University,https://www.zhihu.com/topic/20067687
Missouri University of Science & Technology,DNE
Oklahoma State University,https://www.zhihu.com/topic/20067689
University of Alabama--Birmingham,https://www.zhihu.com/topic/20067689
University of Hawaii--Manoa,DNE
University of Massachusetts--Lowell,https://www.zhihu.com/topic/20076027
University of Rhode Island,https://www.zhihu.com/topic/20076027
Virginia Commonwealth University,https://www.zhihu.com/topic/20067737
Edgewood College,https://www.zhihu.com/topic/20067737
University of Central Florida,https://www.zhihu.com/topic/20067646
University of Idaho,https://www.zhihu.com/topic/20067646
University of Maryland--Baltimore County,https://www.zhihu.com/topic/19699937
Montclair State University,https://www.zhihu.com/topic/19699937
Seattle Pacific University,https://www.zhihu.com/topic/20005508
Ball State University,https://www.zhihu.com/topic/20005508
Illinois State University,https://www.zhihu.com/topic/20067739/newest
Ohio University,https://www.zhihu.com/topic/20067739/newest
Rowan University,DNE
University of Houston,https://www.zhihu.com/topic/19627510
University of Louisville,https://www.zhihu.com/topic/19627510
Florida Institute of Technology,https://www.zhihu.com/topic/20067779
Maryville University of St. Louis,https://www.zhihu.com/topic/20067779
Mississippi State University,https://www.zhihu.com/topic/20067707
Pace University,https://www.zhihu.com/topic/20067707
Suffolk University,https://www.zhihu.com/topic/20067611
University of Maine,https://www.zhihu.com/topic/20067611
Immaculata University,https://www.zhihu.com/topic/20067700
Lesley University,https://www.zhihu.com/topic/20067700
Robert Morris University,https://www.zhihu.com/topic/20096572
University of Wyoming,https://www.zhihu.com/topic/20096572
Florida International University,https://www.zhihu.com/topic/19834593
Georgia State University,https://www.zhihu.com/topic/19834593
Texas Tech University,https://www.zhihu.com/topic/20067723
University of New Mexico,https://www.zhihu.com/topic/20067723
Kent State University,https://www.zhihu.com/topic/20005966
Nova Southeastern University,https://www.zhihu.com/topic/20005966
University of Massachusetts--Boston,https://www.zhihu.com/topic/20037212
Andrews University,https://www.zhihu.com/topic/20037212
East Carolina University,https://www.zhihu.com/topic/20067781
Indiana University-Purdue University--Indianapolis,https://www.zhihu.com/topic/20067781
Lipscomb University,https://www.zhihu.com/topic/20067712
University of Hartford,https://www.zhihu.com/topic/20067712
University of North Carolina--Charlotte,https://www.zhihu.com/topic/20067729
Widener University,https://www.zhihu.com/topic/20067729
Regent University,https://www.zhihu.com/topic/19974107
University of Montana,https://www.zhihu.com/topic/19974107
University of Nevada--Reno,https://www.zhihu.com/topic/20056064/newest
University of North Carolina--Greensboro,https://www.zhihu.com/topic/20056064/newest
Azusa Pacific University,https://www.zhihu.com/topic/20043241
California State University--Fresno,https://www.zhihu.com/topic/20043241
Central Michigan University,https://www.zhihu.com/topic/20067606
Montana State University,https://www.zhihu.com/topic/20067606
University of Colorado--Denver,https://www.zhihu.com/topic/20025830
University of North Dakota,https://www.zhihu.com/topic/20025830
Utah State University,DNE
Wayne State University,https://www.zhihu.com/topic/20067596/questions
Western Michigan University,https://www.zhihu.com/topic/20067596/questions
West Virginia University,https://www.zhihu.com/topic/20024777
Bowling Green State University,https://www.zhihu.com/topic/20024777
North Dakota State University,https://www.zhihu.com/topic/20067751
Old Dominion University,https://www.zhihu.com/topic/20067751
Shenandoah University,https://www.zhihu.com/topic/20036722
University of Alaska--Fairbanks,https://www.zhihu.com/topic/20036722
University of Massachusetts--Dartmouth,https://www.zhihu.com/topic/20067758
Benedictine University,https://www.zhihu.com/topic/20067758
California State University--Fullerton,DNE
Dallas Baptist University,https://www.zhihu.com/topic/20024777/top-answers
New Mexico State University,https://www.zhihu.com/topic/20024777/top-answers
University of Texas--Arlington,https://www.zhihu.com/topic/20067704
South Dakota State University,https://www.zhihu.com/topic/20067704
Southern Illinois University--Carbondale,https://www.zhihu.com/topic/20067612
University of Missouri--St. Louis,https://www.zhihu.com/topic/20067612
University of South Dakota,https://www.zhihu.com/topic/20067756
American International College,https://www.zhihu.com/topic/20067756
Ashland University,https://www.zhihu.com/topic/20067585/newest
Augusta University,https://www.zhihu.com/topic/20067585/newest
Barry University,DNE
Boise State University,https://www.zhihu.com/topic/19721341
Cardinal Stritch University,https://www.zhihu.com/topic/19721341
Clark Atlanta University,https://www.zhihu.com/topic/20067591
Cleveland State University,https://www.zhihu.com/topic/20067591
Eastern Michigan University,https://www.zhihu.com/topic/20067791
East Tennessee State University,https://www.zhihu.com/topic/20067791
Florida A&M University,https://www.zhihu.com/topic/20067752/newest
Florida Atlantic University,https://www.zhihu.com/topic/20067752/newest
Gardner-Webb University,https://www.zhihu.com/topic/20067862
Georgia Southern University,https://www.zhihu.com/topic/20067862
Grand Canyon University,https://www.zhihu.com/topic/20099275
Indiana State University,https://www.zhihu.com/topic/20099275
Indiana University of Pennsylvania,DNE
Jackson State University,https://www.zhihu.com/topic/20067743
Kennesaw State University,https://www.zhihu.com/topic/20067743
Lamar University,https://www.zhihu.com/topic/19851053
Liberty University,https://www.zhihu.com/topic/19851053
Lindenwood University,https://www.zhihu.com/topic/20067696
Louisiana Tech University,https://www.zhihu.com/topic/20067696
Middle Tennessee State University,https://www.zhihu.com/topic/20067805
Morgan State University,https://www.zhihu.com/topic/20067805
National Louis University,https://www.zhihu.com/topic/20022394
North Carolina A&T State University,https://www.zhihu.com/topic/20022394
Northern Arizona University,https://www.zhihu.com/topic/20067850
Northern Illinois University,https://www.zhihu.com/topic/20067850
Oakland University,https://www.zhihu.com/topic/20140220
Portland State University,https://www.zhihu.com/topic/20140220
Prairie View A&M University,https://www.zhihu.com/topic/20067620
Sam Houston State University,https://www.zhihu.com/topic/20067620
San Francisco State University,https://www.zhihu.com/topic/20067601
Spalding University,https://www.zhihu.com/topic/20067601
Tennessee State University,DNE
Tennessee Technological University,DNE
Texas A&M University--Commerce,https://www.zhihu.com/topic/20067631/unanswered
Texas A&M University--Corpus Christi,https://www.zhihu.com/topic/20067631/unanswered
Texas A&M University--Kingsville,https://www.zhihu.com/topic/20067793
Texas Southern University,https://www.zhihu.com/topic/20067793
Texas State University,https://www.zhihu.com/topic/20067798
Texas Woman's University,https://www.zhihu.com/topic/20067798
Trevecca Nazarene University,DNE
Trinity International University,DNE
University of Akron,https://www.zhihu.com/topic/20043241
University of Alabama--Huntsville,https://www.zhihu.com/topic/20043241
University of Arkansas--Little Rock,DNE
University of Louisiana--Lafayette,https://www.zhihu.com/topic/20067772/newest
University of Louisiana--Monroe,https://www.zhihu.com/topic/20067772/newest
University of Maryland--Eastern Shore,DNE
University of Memphis,https://www.zhihu.com/topic/20068012
University of Missouri--Kansas City,https://www.zhihu.com/topic/20068012
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,https://www.zhihu.com/topic/20067616/intro
University of New Orleans,https://www.zhihu.com/topic/20067616/intro
University of Northern Colorado,https://www.zhihu.com/topic/20067786
University of North Texas,https://www.zhihu.com/topic/20067786
University of South Alabama,DNE
University of Southern Mississippi,https://www.zhihu.com/topic/20067624
University of Texas--El Paso,https://www.zhihu.com/topic/20067624
University of Texas--Rio Grande Valley,https://www.zhihu.com/topic/19693809/top-answers
University of Texas--San Antonio,https://www.zhihu.com/topic/19693809/top-answers
University of the Cumberlands,https://www.zhihu.com/topic/20067597
University of Toledo,https://www.zhihu.com/topic/20067597
University of West Florida,https://www.zhihu.com/topic/20067618
University of West Georgia,https://www.zhihu.com/topic/20067618
University of Wisconsin--Milwaukee,https://www.zhihu.com/topic/19755275
Valdosta State University,https://www.zhihu.com/topic/19755275
Wichita State University,DNE
Wilmington University,https://www.zhihu.com/topic/20005455
